     3.4000   -5.038611E-02  1.440101E-01  5.925743E+00
     3.4500   -2.717941E-02  1.417735E-01  6.090281E+00
     3.5000   -3.791210E-03  1.391581E-01  6.255938E+00
     3.5500    1.891593E-02  1.361875E-01  6.422532E+00
     3.6000    4.012399E-02  1.328901E-01  6.589906E+00
     3.6500    5.943537E-02  1.296452E-01  6.759432E+00
     3.7000    7.595341E-02  1.261073E-01  6.929554E+00
     3.7500    8.917243E-02  1.223088E-01  7.100157E+00
     3.8000    9.875626E-02  1.182844E-01  7.271146E+00
     3.8500    1.047308E-01  1.141874E-01  7.444140E+00
     3.9000    1.068467E-01  1.099073E-01  7.617435E+00
     3.9500    1.052690E-01  1.054781E-01  7.790994E+00
     4.0000    1.003144E-01  1.009336E-01  7.964811E+00
     4.0500    9.256974E-02  9.649805E-02  8.140296E+00
     4.1000    8.233647E-02  9.197597E-02  8.315908E+00
     4.1500    7.022089E-02  8.739702E-02  8.491677E+00
     4.2000    5.686162E-02  8.278928E-02  8.667668E+00
     4.2500    4.293125E-02  7.831448E-02  8.844579E+00
     4.3000    2.897434E-02  7.383636E-02  9.021524E+00
     4.3500    1.555797E-02  6.937704E-02  9.198602E+00
     4.4000    3.170178E-03  6.495632E-02  9.375954E+00
     4.4500   -7.808620E-03  6.071676E-02  9.553742E+00
     4.5000   -1.707830E-02  5.653078E-02  9.731679E+00
     4.5500   -2.444250E-02  5.241179E-02  9.909944E+00
     4.6000   -2.980953E-02  4.837098E-02  1.008877E+01
     4.6500   -3.322659E-02  4.449230E-02  1.026801E+01
     4.7000   -3.473615E-02  4.069637E-02  1.044753E+01
     4.7500   -3.451343E-02  3.698967E-02  1.062759E+01
     4.8000   -3.279493E-02  3.337702E-02  1.080854E+01
     4.8500   -2.995585E-02  2.995651E-02  1.098891E+01
     4.9000   -2.622188E-02  2.662522E-02  1.116986E+01
     4.9500   -2.191744E-02  2.338521E-02  1.135176E+01
     5.0000   -1.736267E-02  2.023768E-02  1.153513E+01
     5.0500   -1.296825E-02  1.726257E-02  1.171644E+01
     5.1000   -8.902539E-03  1.437259E-02  1.189838E+01
     5.1500   -5.392931E-03  1.156787E-02  1.208138E+01
     5.2000   -2.615698E-03  8.848344E-03  1.226627E+01
